speaker;painting;Уровень_ОЭИ;description
Алёна Л;Кандинский;Средний;"Тяжело. Я не знаю, как описать общую композицию. Я не особо, в ней что-то вижу. Скорее, может, какие-то холмы. Вот. Какие-то тут треугольники, меня очень смущают, какие-то фигуры, какие-то холмы. В общем, какой-то такой немножечко природный, около городской пейзаж, как деревня, поселок. Но тут я больше опишу, наверное, не по тому, что происходит, а по тому, как ощущается. В общем, почему я сначала подумала про радость? Потому что ну вот всё такое яркое, красочное, вот, такие жёлтые, зелёные, прикольненько, вот. Но если вот в эту часть посмотреть, она намного темнее, чем остальные части, и она такая. На фоне. И меня это.. сильно смущает, её присутствие здесь. Меня очень смущает то, что ну здесь вот всё плавненько, всё растушёвано, красивенько. И здесь какие-то резкие тёмные линии, даже... Не знаю, можно ли это штрихом назвать, я не очень сильно в искусстве разбираюсь. Вот, и они как будто бы резонируют с вот этим вот общим пейзажем. И, наверное, поэтому это вызвало удивление какое-то. Не знаю... Ну вот это вот выглядит как холм, а вот это вот выглядит как небо, а вот это вот какие-то там, не знаю, домики, может, какой-то частокол, ну тогда почему здесь палки? Я думаю, тут нет... Чёт-чёт. Ну хотя, может, и есть вот эта вот башня, не знаю, или гора. Вот это... Ну они, конечно, треугольники, но это что-то человекоподобное ощущается. Что-то едет или идёт. Вот. Нет. Не знаю, есть какой-то...Вот эти тёмные цвета на фоне меня смущают. Как будто бы это какое-то такое немножечко нагнетение, как будто, знаешь, вот такое вот чувство, как когда... Вот ты знаешь... Точнее, ты не знаешь, что будет дождь, но ты чувствуешь, что воздух такой очень сильно густой, и влажность сразу выше, у тебя начинает немножечко вот так вот болеть голова, потому что ты припец такой метеочувствительный, и ты чувствуешь, что ну вот-вот-вот, вот-вот, или ливанёт. И вот такое же чувство примерно от этой картины. Вот, как будто бы что-то такое сзади подбирается. Ну, сходу нет, я думаю. Да. Просто что-то такое. Затишье перед бурей. Немножечко. Но бурю уже видно. Ну если изначально отталкиваться от того, как я это трактовала, что вот там вот где-то деревушка, вот тут вот какие-то, не знаю, мирные жители, вот этот вот холл, то, ну, просто как будто бы какой-то... Я не уверена, что это можно вообще типа пытаться в какие-то конкретные образы заключить, потому что я не уверена, что тут автор отражает. Вот. Ну не знаю, как будто бы какой-то такой... Типа не что-то сильно страшное надвигается, но такой непогожий, неприятный день. 
 Ну вот сейчас, да, сейчас мнение поменялось. Ну, я бы сказала, тревогу... Ну, даже не то, чтобы тревога, а вот именно плохое предчувствие. Мне кажется, это немножечко разные вещи. Вот, потому что тревога, она всё-таки хоть какие-то мысли вызывает, а предчувствие, оно просто есть, и ты такой... А чё произойдет. Вот. Какое-то вот предчувствие чего-то нехорошего. Как это вот в эти эмоции? Не знаю. Наверное... Ну, это как бы предчувствие плохого, это скорее ближе к страху. Но страх слишком простая и понятная, и такая довольно яркая эмоция, относительно предчувствия. Вот. Может, наоборот? Может, тут всё наоборот назад уходит, вот эта вот светлая часть, а всё плохое уже позади, но у меня почему-то не такие эмоции. Вот. И вот это вот меня, наверное, больше всего смущает, даже больше, чем темные цвета, это вот эти вот резкие палки, которые вообще не вписываются в вот это вот обилие пятен, по форме. они, вот, что-то такое, тревожное вызывают."
Кречка;Кандинский;Средний;"Ну радость. У меня всегда хорошие эмоции, мне нравятся такие картины. 
 Ну я почему-то, когда-то отворачивала, вот здесь увидела кузнечика. Ну сейчас ты повернула и его нет. Эллюминатор. Ну вот тут треугольник и тут такая круглая какая-то вещь. Глаза. Как в этом.. Гравити Фолс. Ну и наверное это какая-то гора. Я не знаю. Это вот гора, это небо оттенки типа может там был закат. Ну я не понимаю. Для меня просто, если это гора, то по вот этим вот 2-3 треугольника, а один из них. Ну два. Они поднимаются в эту гору. Вот вот у них вот эти вот ножки, если такую ассоциацию делать. Тут еще есть круглая какая-то штука, солнце какое-то. Если убрать вот все эти оттенки светлые, в принципе можно сказать, что это обычный какой-то детский рисунок. Да тут поднимается еще и круглое солнце. Ну правильно солнце, не вот это вот, которое мы рисовали. Но я не понимаю что посередине. Вот эти вот царапины. Ну что это? Какие-то? Вот это я не понимаю, что, если это гора. Царапина. Может, молния какая-то. Ну то есть да, это какая-то природа и... Но царапины не понимаю почему. Какие-то такие. Ну может это... Гроза, молния или дождь падает в одну такую вот штуку, Но вряд ли,это гроза. Наверное. 
 Ну мне сначала, наверное, ничего непонятно. Сначало как-то рассматриваешь детали, а сейчас, когда я подумала, что это природа, — спокойствие. Мне всегда спокойно от природы. Потому что... Ну я не знаю почему. Потому что тишина. Особенно такая. Спокойствие сейчас. 
 Нравится, Ну мне всегда и нравилось типа такое искусство. Я не помню как оно называется, я плохо в таком разбираюсь. Но вот когда много чего накалякали цветов. Ну то есть она нескучная и в ней реально можно что-то разглядеть, что угодно. Ну то есть, если еще присмотреться на гору, то там какая-то... Сначала подумала, что волна. Теперь не знаю, что это. Это вряд ли гора. Ну то есть ты смотришь и ищешь просто какие-то ассоциации, развиваешь как-то свое представление. Что-то такое. Мне нравится такое. 
 Мне кажется это рисовали птичками. Ну то есть из-за того что царапины тут еще есть такие вот так вот налеплены какие-то штучки. Ну был контур кисточками, вот так вот еще что-то делали. Не знаю что. Мне кажется он добавил вот это вот посередине вот эти царапины. Может она ему не понравилась. Может, он её нарисовал, она ему не понравилась и он такой ай херня, а потом класс."
Даниил;Кандинский;Средний;"Похоже на природу. Как будто паука кого-то вижу, птичку. Как будто на ветке это либо на холме сидят животные. Ну, может быть. Первое что пришло. Ну это кажется как с облаками, когда они проплывают. Смотришь, угадываешь что-нибудь, что видишь. Так ну настроение такое приподнятое из-за ярких тонов картины. Но ассоциация сразу идет с природой почему-то у меня. Изображение природы. Ну да забавная. позитивом веет немного. Наверное нет. Ну тут все слишком непонятно.
 Если я там окажусь, неизвестно, что там будет. Ну здесь слишком все гипертрофировано просто. Очень много оттенков. Ну вот красиво выглядит синий цвет, разные вариации, хорошо обыгрываются. Так просто, любопытная, интересная картина. Интересна своей необычностью. Надо вглядываться, чтобы что-то свое увидеть, как все люди так делают в такие моменты, наверное. Мне кажется она сделана так, чтобы каждый видел в ней что-то свое, ассоциациями. Ассоциативная картина.
 Ну вот по центру как будто бы паук стоит. А сбоку от него птичка. Ну это так, образ. И стоят они у какой-то палки, которая стои(т).. просто лежит на земле. И сверху краски разные. Цветовая гамма там как будто небо, ну потому что там многообразие всего. Ну первое, что голову приходит. 
  Ну вначале я удивился просто, когда первый раз посмотрел, потому что неожиданно было увидеть такую картину. А сейчас ну уже чувство чувствую такое.. Ну не то что нет эмоций, просто разглядел получше. Ну мне она не импонирует и никак не.. в негативном смысле не влияет на меня."
Варя;Кандинский;Средний;"Мне кажется, что это... Это как будто бы какая-то дорога. Это дорога куда-то в далекое пространство, которого, скорее всего, даже нет в этом мире. Ощущение, как будто здесь какая-то возвышенность. Здесь проходят вот эти вот тонкие-тонкие деревья и леса. И... Как будто бы это берег какой-то. И там вдалеке находится солнце. Такой. Ну, если смотреть через инверсию, то это солнце. Ага.
 Ощущение, как будто бы... Я бы сказала, такое... Чувство какого-то ожидания. Ожидания чего-то. Как будто ты смотришь туда и... Думаешь, что там может произойти, почему оно так? Почему оно идет именно таким образом? Именно не в плане, как нарисовано, а именно просто, в принципе, ощущение от этой дороги, что как будто бы она идет в никуда. Или у нее есть какой-то конечный путь. Что это? Как... Как именно оно в конце завершится? 
 Ну... Если это действительно то, что я себе представляю, то, наверное, да. Хотя, не факт, но примерно можно... Если это то, что я себе представляю, а я себе представляю пляжик, горку, дорожку, то это да, вполне себе можно. 
 Есть еще некоторые... Некоторое чувство какой-то неопределенности, потому что... Очень большое обилие именно таких темных, резких цветов, которые очень-очень сильно контрастируют с яркими, такими светлыми, светлыми... Светло-голубой, светло-зеленый, лазурный цвет, желтый. И вот именно эти темные пятна, которые находятся посередине картины, как будто дают ощущение вот именно... Вот именно... Я даже не могу сказать, некоторой тревожности, что ли, потому что очень резко... Фу! Резкие акценты на этой картине. Именно вот этих вот цветов. То есть первое, что вижу, это вот именно это темное пятно, которое находится слева и вдалеке, справа. Вот это тоже другое темное пятно. Они очень сильно привлекают внимание. Поэтому, отвечая на твой предыдущий вопрос, мне кажется, все-таки, наверное, не хотела бы оказаться, потому что эти темные пятна начинают меня немного настораживать. 
 М-м-м... Интересны вот эти вот треугольники, которые около центра, но ближе все-таки к правой стороне. Или это не треугольник, но, думаю, все-таки треугольник. Такой с розовым кружком... С розовым пятном даже, наверное, посередине. Они... Они выглядят очень интересно. Я даже близко не могу представить, что это может быть. Вообще, в принципе, интересно такое."
Игорь;Кандинский;Средний;"Это буйство красок. Я такое люблю. Тут надо очень хорошо подумать над тем, что именно я здесь вижу.
 Вот то ли гора, то ли нос, то ли вообще сосок женской груди. Вот что-то среднее между этими тремя. Понимаешь? Сложно сказать. Но вот судя по палочкам по центру, наверное, это должны быть деревья, поэтому, соответственно, части тела отпадают. Но тут действительно вот такое пятно, как будто бы вот грудь. И за ним вот идет вот так, ну, типа, плечо и рука вниз. Вот что за треугольники здесь? Наверное, это типа дома должны быть. Слушай, ну вот это действительно тут выглядит как смешение... женского тела и вот чего-то такого природного. И цвета безумно красиво подобраны. Вот тут такая синева, дальше справа персик, не персик, вот какие-то желтые оттенки, лимонные какие-то. Все так красиво переходит друг в друга. Мне вот это прям... У меня почему-то ассоциации с Испанией еще есть, не знаю. Хотя на Дали вообще не похоже. Он же Испанец? Да. Ну, музей его точно в Испании, а вот кто он, я уже точно не помню. По-моему, он испанец тоже был, Сальвадор. Но вот именно цвета, вот буйство красок, вот как будто бы что-то испанское такое.
 Ну, а что мы подразумеваем под сюжетом картины? Ну, вот сюжет это типа Аленушка, как я сам чувству?. Но вот для меня сюжетные картины это вот какие-то такие... Ну, вот по типу, да, по типу того, что Васнецов писал. Что там? Вот там сцена из сказки. Здесь нет сцены и сказки. Это вот... Ну, вот если именно только мое мнение, мое видение воспринимает, что вот это, да, это как будто бы здесь... Это должна быть... Я разглядел лошадь! Ну, да, вот это как будто должна быть аллюзия и сравнение женщины и природы. Ну, да, на самом деле, если так подумать над ракурсами, что вот, да, тут еще часть, которая, ну, видимо, должна быть какой-то поляной на фоне, то это как будто может быть типа нога, бедро, например, вдалике. Но при этом вот по ней вот какая-то лошадка ходит, деревья растут, домики стоят. Ну, мать природы, короче. 
 Только положительные. Ну, я не могу сказать, что вот прям... Боже, какая радость от этой картины! Я, в принципе, наверное, у меня в основном все эмоции приглушенные, но вот что-то хорошее, вот это вот чувство, что-то такое вот приятное, что хочется смотреть. И смотреть, и смотреть, и изучать. Ну, вот... Тело женщины, природа. Вот откуда-то... Вот у меня цветовая гамма почему-то вот с Испанией ассоциируется очень мощно. Лето. Это очень летняя картина. Тут как бы все... Все цвета, они как будто бы вот есть в летнем небе. То есть слева у нас тут такое, как бы ночь в августе условно, примерно, наверное. Справа вот... Вот такие закаты июльские. Причем закаты не обязательно Испанские. Очень похоже на закат вот в Самаре, когда идешь на пляж, на набережную, и закат смотришь, вот там такое же персиковое красивое небо с желтизной. Короче, да, вот это прям... Буйство летних красок на этой картине."
Мария Сергеева;Кандинский;Средний;"Опа… Ну что-то прикольное. Такое люблю, да. Как мы такое любим..Что вижу? Это импрессионисты. Или это сюрреалисты? Блин. Ну импрессионисты чуть по-другому. Вот мне импрессионисты нравятся. У них вот не доходят до вот этого... Ну, как... Как безумия красок. Ну это, видимо, поле. Такое вот. Вон там, даже вдалеке какое-то видимо... Что это мельница или домик такой... С треугольной крышей. Палки, это, видимо, деревья. Вот, что-то такое. Здесь, видимо, идут люди, поэтому. полю, мимо этого поля... Работают. Может быть это крестьяне. Не знаю. Когда это написано? Когда сделали цветные краски? Ну, она такая, знаешь, прям… Приятная. То есть ты видишь яркие краски. Такие прум пум пум. И у тебя взгляд пытается за что-то зацепиться. А центральной композиции никакой нет. То есть тебе некуда смотреть. У тебя, в принципе, всё огромное полотно. И какое-то действие происходит в другой его половине. Но при этом вторая половина тоже чем-то интересной. С этими мазками прикольными. Поэтому... Ну... Ты не считываешь отсюда особо. Сложно, когда нет людей. Чьи эмоции нужно угадать?
 Ну, я чувствую какую-то растерянность. Я не знаю, куда мне смотреть. То есть у меня взгляд куда-то скачет. И нет такого, чтобы я посмотрела сначала в центр, а потом изучала окрестности. Я смотрю в центр, пытаюсь понять, что в центре я изучаю окрестности. И всё равно не понимаю. Потому что всё вот так переплетается. И... На таких картинах я обычно не задерживаю своё внимание в галереях. То есть ты видишь, а... Пойду посмотрю, висит натюрморт там. Пейзажик. Вот пейзажи хорошо считаются. Это может быть и пейзаж, но он считывается тяжело. Не моё это.
 Скорее да, чем нет.
 Я бы сошла с ума в этом мире. Но думаю, что... Наверное, нет. Там слишком ярко. Я не люблю такое. Я лучше бы в комнату к предыдущему попаду. Там хотя бы такой синий оттенок. Подвал вот этот. Поэтому, наверное, нет.
 Не знаю. Очень странно нарисован холм. Я как будто бы пытаюсь тут что-то разгадать. Возможно, здесь два холма. Это такой хребет. Но я не... Чем дальше я рассматриваю эту картину, тем меньше я понимаю, что происходит. И тем меньше я могу строить какие-то предположения. Как-то так.
 Тревога, наверное. Как будто, знаешь, ты всё-таки... Ты теряешься. Ты теряешься, теряешься, теряешься. Ты смотришь, ты снова... Всё, страшнее, страшнее. Куда ты теряешься?"
Ксюша;Кандинский;Средний;"Так, ну, я вижу много цветов. Ну, в плане... цветов, а не в плане растений. Ну, наверное, хочется попытаться всё-таки что-то увидеть конкретное, но на первый взгляд, мне кажется, я вижу дорогу, и холм слева, получается, с моего лева. И какие-то... Ну, я сомневаюсь, конечно, это подразумевалось, но у меня ассоциация, что вот эти вот, типа, палки, которые вверх торчат, что это в общем, столбы, которые провода тянутся, типа столбы связи. И там вот вдалеке как будто какое-то здание, типа, как... Не знаю, почему, мне кажется, что это мельница. Ну в общем, ладно. И какие-то ещё... Какие-то вот объекты справа, но я не знаю, честно, что, что они мне напоминают. Ну, как какие-то... Вот это, это, наверное, ещё от первой не отошла просто, мне кажется, что это вот эти вот... Вигвамы типа, треугольнички. Но ещё почему-то… Тут всё цветное, наверное, поэтому, кажется, что это... Что это всё луга, что-то, типа, цветов много, цветов, растений на холме. Вот. 
 Добрый вайб. Ну, потому что светлых много цветов. Ну там как будто... Ну, в общем, да, такая радостная, лёгкая... Такая... 
 Ну, мне кажется, забавно, что тут на картине, типа, передний план он таких более типа в светлых, легких оттенках. а вот там сзади как будто типа будто облаков много, потому что там тёмная клякса. Ну, как будто, короче, скоро начнется дождь. 
 Вот эта да. Ну она как будто яркая, больше ассоций с чем-то радостным. Так что да... Ну, ещё можно прям посидеть порефлексировать, что здесь нарисовано, не знаю, просто... Ввроде говорят, что не надо искать типа, но поразглядывать очень классно, потому что много разных цветов клякс."
Арина Б;Кандинский;Средний;"Что-то абстрактное. Ну, знаешь, похоже на каких-то огромных насекомых. Ходящих по какому-то холму. Типа вот это вот огромное такое. И у него, видишь, вот ножки всякие. Вот тут домик, возможно, стоит. Или улитка ползет. Или лошадь вообще. Кстати, на лошадь тоже похоже. Это тоже какие-то насекомые. У него вообще треугольник какой-то странный. Но... Мне нравится эта картина. Вот. Такие светлые оттенки, такое разнообразие. Мне нравятся в целом эти цвета. И все очень как-то так гармонично смотрится.
 Мне такое сложно, дается. Мне кажется. Хотя... Я даже не знаю... 
 Насекомые передвигаются по полю. На коленку похоже. Ну, я пока что не знаю, что с сюжетом делать.
 Ммм... Мне больше нравится смотреть на такое. Чтобы именно оказаться. В целом, почему нет? Но с другой стороны, там все настолько ярко. Настолько, типа, разнообразно. Что это все очень, возможно, нагружало бы немножко мой мозг, мое ощущение. Вот. Но смотреть на такое... Мне очень нравится. Просто вот. На картину.
 Потому что нравятся эти оттенки. Нравится, как тут все выстроено. Правда, вот эти вот линии, они такие довольно грубые. И непонятно, зачем они, типа, здесь. Но в целом... Они добавляют как раз-таки фактурности к картине. То есть не все такое плавное. А еще какие-то линии есть, которые... Смысл которых я не понимаю.
 Ммм... Немножко есть. Но это чисто такая моя личная. Потому что я хотела картину по номерам заказать. Примерно в таких же оттенках. Ааа... И вот как раз-таки ассоциации с этой картиной по номерам. Ну... Не знаю. Ну вот лошадка. Возможно... Возможно... С песенкой... Ааа... Облака белогривые лошадки. Как-то так. Но насекомые очень странные. 
