speaker;painting;level_oei;description;joy_score;sadness_score;fear_score;anger_score;surprise_score;joy_evidence;sadness_evidence;fear_evidence;anger_evidence;surprise_evidence;analysis
Никита;Фермерша;Средний;"Я вижу на картине фигуру женщины, которая представляется мне человеком простым, можно сказать, маленьким человеком. Который, в принципе, всю свою жизнь был, была такой, можно сказать, простодушной даже, но при этом доброй и искренней, хорошей матерью для своих детей. Но вот эти вот все грубые черты и в ее теле, и в лице, и в принципе, в самой картине, как бы, намекают на то, что жизнь ее заставила немножко огрубеть и вот этими гранями покрыться. И это на меня навевает такую вот тоску, что ли, по тому, как человека жизнь в квадрат загнала. 
 У меня ассоциации, в целом, с поколением наших родителей. Ну, я понял, что я вот этот образ, который я сейчас описал в начале, я для себя его вообще не искал. То есть он у меня вот сразу вот так вот выстроился, типа, ну вот, да, женщина, которую жизнь заставила, условно говоря, огрубеть, покрыться жесткими линиями. Для меня это как-то сразу на места встало. И я дальше вот все время пока смотрел, только искал какие-то детали и подтверждения, поэтому меня не было плавающего какого-то состояния. 
 Это, наверное, контур, в частности, то, как вот здесь ключицы жестко выделены, и как бы это показывает то, что плечи такие довольно грубые, большие, твердые. Да. Большие, тяжелые. Человек много физически работал, скорее всего, в своей жизни, это первое, что в глаза бросилось.
 Возможно, в этом стало меньше эмоций, просто когда я это проговорил. Ну, из-за того, что я это выпустил. Но в целом ассоциации не изменились, потому что у меня довольно сильный внутренний голос. Типа я, когда мысли, я это и так проговариваю.";0.1;0.7;0.0;0.0;0.2;доброй и искренней, хорошей матерью;жизнь ее заставила немножко огрубеть | тоску | жизнь в квадрат загнала | покрыться жесткими линиями | много физически работал;;;вот сразу вот так вот выстроился | первое, что в глаза бросилось;Текст в основном передает грусть из-за того, как жизнь изменила женщину, сделав ее более грубой. Есть небольшая радость от упоминания ее доброты и искренности. Удивление связано с тем, как быстро и четко сложился образ женщины в сознании наблюдателя. Страх и гнев в тексте отсутствуют.
Алиса;Фермерша;Средний;"Какая-то очень маскулинная женщина, как мне показалось. Почему маскулинная? Потому что у нее широкие плечи. Почему женщина? Потому что я вижу некоторую... эээ… Некоторый объем в области груди. Плюс картина сама по себе странно немножко нарисована, потому что здесь много четких линий и с одной стороны, вот ты смотришь и вроде бы видишь лицо, брови, глаза, нос, уши. А потом ты немножко меняешь угол зрения, и у тебя другие линии становятся вместо вот этих элементов лица так, будто бы изображение меняется. И поэтому... И поэтому оно кажется немножко зловещим. Вот. Еще мне нравится, что здесь есть контраст цветов, но это профдеформация небольшая, потому что я теперь, когда смотрю картину, после книги Итона про цвета начинаю их замечать. Но это так. Первое, о чем я думаю, это почему-то Малевич, хотя это не совсем его стиль, но тоже похоже на конструктивизм. И еще я почему-то сразу вспоминаю строчки про русскую женщину, что она коня на скаку остановит и в горящую избу зайдет. Ну это опять же про образ какой-то маскулинности. Наверное. Как-то так. 
 Достаточно жесткий, мне кажется. Скорее всего, он — или она, я не знаю — строг к себе и к окружающим, не любит каких-то излишеств. Точнее, не то, чтобы не любит, не позволяет скорее. Что еще. Но при этом, на самом деле, здесь есть какая-то искренность и честность. И его благородство, может быть, внутреннее. Но все это в оболочке достаточно грубой.
 Тут нет рта. Обычно, смотря на рот, можно многое понять. Но при этом здесь вот эта линия ключицы, чем-то напоминает рот, о чём я говорила в начале, что линии как-то странно собираются в разную форму. И у меня ощущение, что какие-то скорее положительные эмоции. Ну такие, нейтрально-положительные. Ещё я думаю, что на это влияет тёплая цветовая гамма. Здесь есть синий внизу, но в основном она тёплая. И это либо спокойствие, либо... Ну это не радость, но что-то такое. Не негативное, я бы сказала. 
 Мне немножко страшно, потому что... Криповая картина. И здесь ещё как будто ощущение эффекта славящей долины, когда ты видишь лица. Там, где мы не должны были их видеть или когда они искажены как-то... Короче... Мне крипово.";0.2;0.0;0.7;0.0;0.3;мне нравится, что здесь есть контраст цветов | какие-то скорее положительные эмоции | нейтрально-положительные | влияет тёплая цветовая гамма | спокойствие;;оно кажется немножко зловещим | мне немножко страшно | Криповая картина | ощущение эффекта славящей долины | мне крипово;;картина сама по себе странно немножко нарисована | изображение меняется | почему-то Малевич | это не совсем его стиль | линии как-то странно собираются в разную форму;В тексте преобладает страх из-за зловещего и крипового восприятия картины, а также эффекта славящей долины. Есть небольшая радость, связанная с положительными эмоциями от цветовой гаммы и контраста цветов. Удивление связано с необычным стилем картины и изменением восприятия изображения. Грусть и гнев отсутствуют.
Даниела;Фермерша;Средний;"Для меня это была ассоциация с каким-то собеседником, что это что-то напротив меня, какой-то человек. Почему-то мне сразу было страшно и немного грустно, чуть-чуть грустно. Я не понимала, почему грустно, мне казалось, что просто человек какой-то печальный. Возможно, синий стол имел какое-то влияние, потому что, не знаю, для меня почему-то синий стол ассоциируется с чем-то грустным, не знаю почему. И злость добавила фон, я думаю, и в целом оттенки вот эти какие-то красные, такие каковые жёсткие. И у меня ощущение, что у него, знаешь, ещё как будто из головы что-то типа рогов или что-то такое. Ну просто в моей какой-то фантазии так, знаете, потому что здесь ещё и свет, например, идёт вот так, то есть краски вот прям вот так идут, понимаешь, и это выглядит достаточно жутко. Это выглядит как будто от него какая-то аура достаточно жуткая. Он ещё и как будто руки ко мне протягивает, а я на это не соглашалась, что тоже, знаешь, не особо-то хорошо. Ну в общем, некий страх, правда, был испытан. Ну именно такой, как-то некомфортный, я бы сказала, человек.
 Ну вот именно скорее какой-то разговор, у меня как будто есть какая-то, какой-то портрет человека, с кем это можно ассоциировать, но я как-то не особо могу понять с кем. Уж просто как будто что-то подобное было. Нет, почему-то, знаешь, обычный трудяга. Вот такой обычный мужчина, вот пришёл после работы. Особо-то от него, скорее всего, опасности никакой ждать не надо, знаешь. Но почему-то она просто ощущается. Возможно, именно потому что это такой страх, не того, что мне от него что-то будет, а страх того, как будто мы сейчас поговорим, и я в депрессию от него впаду, знаешь, что это такое. Какой-то такой безопасный страх, насколько я понимаю.
 В целом, я вначале как-то попыталась объяснить, это вот именно какой-то страх с грустью, но какая-то такая печаль, да, такая, знаешь, просто навеялоя. Жалко, этого добряка. И себя теперь жалко. Да и вообще... Жизнь отстой. Оказалось бы, он просто сидит напротив, а ты уже...";0.0;0.7;0.8;0.3;0.2;;немного грустно | человек какой-то печальный | синий стол ассоциируется с чем-то грустным | печаль | жалко, этого добряка | себя теперь жалко | жизнь отстой;сразу было страшно | ощущение, что у него, знаешь, ещё как будто из головы что-то типа рогов | это выглядит достаточно жутко | аура достаточно жуткая | руки ко мне протягивает | некий страх, правда, был испытан | страх, не того, что мне от него что-то будет, а страх того, как будто мы сейчас поговорим, и я в депрессию от него впаду | безопасный страх;злость добавила фон | оттенки вот эти какие-то красные, такие каковые жёсткие;почему-то мне сразу было страшно | почему грустно | почему-то синий стол ассоциируется с чем-то грустным | почему-то она просто ощущается;Текст выражает сильные эмоции страха и грусти. Страх проявляется через описание жутких образов и ощущение угрозы, даже если она не явная. Грусть связана с ассоциациями с печалью и жалостью. Злость присутствует в меньшей степени, как фон, связанный с цветами. Удивление выражено через непонимание причин своих эмоций.
Арина Т;Фермерша;Низкий;Какая-то женщина, латино-американка, такая ей лет тридцать-сорок, не знаю. Ну у меня у бабушки в квартире похожая картина, но только в гиперреализме была. Всё, больше ничего не знаю. Ну просто картина. Такое не очень впечатляет. Вернее, это круто, но не фанат. Картина. В ней нету сюжета, в ней нету никакого, в целом, напряжения типо вот лицо. Это просто намалёвочек лица. Ничего не выражает и я ничего не выражаю в ответ. Скорее всего, короче, это вот как в классических всяких фильмах, мультфильмах, это вот мать троих детей, которые постоянно творят безумие. Она от этого устала, но она прям жёсткая и держит их всех в ежовых рукавицах. Стиль рисунка специфичный, конечно. Интересный, честно.;0.2;0.1;0.0;0.0;0.1;это круто | интересный, честно;она от этого устала;;;стиль рисунка специфичный;Текст выражает небольшую радость и интерес к картине, но в целом описывает её как не впечатляющую. Есть небольшая грусть в описании женщины, которая устала. Удивление выражено через упоминание специфичного стиля рисунка. Страх и гнев отсутствуют.
Алёна Л;Фермерша;Высокий;"Ну, я изначально ответила грусть. Но она такая неяркая, такая немножечко умиротворенная. Смирение. Как будто бы что-то такое. Надо объяснять, почему. Почему? Ну, во-первых, из-за позы. Ну, не знаю, как-то человек вот так, прямо смотрит. Насколько это можно сказать. Учитывая формат картинки. Из-за сочетания цветов. Оно какое-то такое довольно тусклое и при этом теплое. И поэтому я это как-то так как смиренность читаю. Я не знаю. Вот. Из-за какой-то простоты форм. Она очень понятная, очень доступная. И из-за этого как будто бы эмоция, кажется, довольно простой.
 Ну, это женщина. По ощущ(ениям).. Ну, знаешь, какие-то есть от нее вайбы, что она такая... Что она мать, во-первых. Почему-то. Вот. Такая рабочая женщина, которая весь день проводит в трудах. Немножечко уставшая, но как будто бы принявшая все это. И она просто живет день за днем таким рутинным. Проводит каждый день в день и не особо задумывается как будто о своей жизни. Вот. О том, что ей может что-то не нравиться. Ну, если честно, она мне еще очень напоминает персонажа из «Энканто». Вот эту вот сильную девушку. Возможно, у меня из-за этого немножечко ассоциации. Ну, не знаю, она очень простая, очень приземленная. Вот такое вот слово, мне кажется. Какое-то такое очень мирское, бытовое. Просто, ну, не знаю, как сказать... Такая крестьянка, но не крестьянка, потому что... Вайбы какие-то более мексиканские, не знаю. Ну, такие... Южные, в общем. Вот. Которая... Ну, ее жизнь как будто бы сосредоточена вокруг того, что происходит... Ну, что происходит прямо здесь и сейчас. Вокруг какого-то быта, какой-то рутины. Человек, который не думает о чем-то таком далеком, воздышанном или о чем-то, ну, сильно глубоком. Вот. Ориентируется просто на какие-то простые вот факты. Не знаю. Трудолюбивая сто процентов. Мне мазки нравятся. Не знаю. У нее такой довольно мрачный фон, на котором она нарисована, такой темно-бордовой, немножечко... Ну, как бы теплый, с одной стороны, и чувствуется эта теплота, с другой стороны, немножечко гнетущий, какой-то такой уют, но при этом, как сказать. Уют, который такой сковывающий, сдерживающий не дающий увидеть, не знаю, мир, увидеть что-то за пределами этого быта.";0.2;0.6;0.1;0.0;0.1;теплота | уют;грусть | немножечко умиротворенная | смирение | немножечко уставшая | мрачный фон | гнетущий уют;сковывающий, сдерживающий уют;;удивление от ассоциации с персонажем из «Энканто»;Текст в основном передает грусть и смирение, связанные с образом женщины, которая живет в рутине и не задумывается о чем-то большем. Есть небольшие элементы теплоты и уюта, но они также описаны как сковывающие и гнетущие. Удивление связано с ассоциацией с персонажем из фильма. Страх и гнев практически отсутствуют.
Кречка;Фермерша;Средний;"Ну это женщина. Думаю, потому что у неё вроде грудь есть и ключицы. Нос у неё большой. Ну прикольная картинка, мне нравится. Уши разные еще. Женщина.
 Думаю, она работает... Ну не работает, она такая домохозяйка какая-то обычная. Я бы не сказала что она русская женщина, но что-то похожее у нее есть. То есть такая сильная, готова сделать любую грязную работу, что-то такое. Ну и именно в бытовом. Ну скорее всего, если честно... Мне кажется что она несчастлива в отношениях. Я не знаю почему, но мне кажется что такие вот люди не всегда... Ну какой-то у них брак просто… Брак есть.
 Если честно тоже не знаю что я чувствую... Блин я не знаю как описать что я чувствую от этой картины, но мне кажется, что она чувствует... Ну вот то что я описывала - вот эта ее жизнь, вот эти вот факты. Но она вот видно что как будто какая-то уставшая чуть-чуть... Я не знаю, у нее неё нет рта, я не понимаю почему. То есть она просто как будто не... Ну вот так зацепилась, она просто сидит и ей уже все надоело, вот пришла посидеть посмотреть, просто даже может ей и не нравится сидеть.
 Ну наверное какой-то опыт жизненный общения. Так просто сложилось, что возможно у меня такой типаж людей у меня... Ну под одним каким-то... Ну как это объяснить... У них похожий и схожий жизненный опыт вот. То есть и рутина и так далее. И вот для меня они выглядят примерно так. 
 Ну мне нравится картина. Как будто какой-то художник просто описывал каких-то обычных жителей. Ну не знаю сколько лет этой картине, но как будто он просто хотел показать простых людей. Ничего такого особенного нет, но картина все равно эмоции вызывает, то есть она красивая, мне нравится смотреть. Классные цвета вот. Но вот этот фон еще красный какой-то странный почему-то... Именно такой выбор. Ну вот этот красный фон он больше такой как-то... больше такой как-то кровавый. Не знаю почему, как будто вот это все оттенки. Понимаешь, кажется что она чем-то действительно... Или у нее что-то прям тяжелое что-то за плечами, не знаю.
 Мне, наверное, стало грустно от этого.";0.4;0.7;0.3;0.0;0.2;прикольная картинка, мне нравится | мне нравится картина | она красивая, мне нравится смотреть | классные цвета;она несчастлива в отношениях | она как будто какая-то уставшая | ей уже все надоело | мне, наверное, стало грустно от этого;красный фон он больше такой как-то кровавый | или у нее что-то прям тяжелое что-то за плечами;;уши разные еще | фон еще красный какой-то странный;Текст содержит элементы радости, так как автору нравится картина и её цвета. Однако, преобладает грусть, связанная с восприятием женщины на картине как несчастливой и уставшей. Есть небольшие элементы страха из-за ассоциаций с кровавым фоном и тяжестью за плечами. Удивление выражено через необычные детали картины, такие как разные уши и странный красный фон. Гнев отсутствует.
Даниил;Фермерша;Высокий;"Я вижу человека, который стоит на темном фоне. У него не выражен рот. Он просто стоит и смотрит на меня по сути. В первый раз я вообще ничего не почувствовал. Сейчас, наверное, грусть. Потому что он какой-то мрачноватый. Ну так наверное картина создает такой фон. 
 Ну наверное просто удручающая аура у него. Он сам грустный, поэтому я почувствовал не свою грусть а его. 
 Ну мне кажется он довольно мягкий. Человек. Ну уставший, грустный, грузный человек. Просто у него плечи поникли. Он уже как будто безэмоциональный. 
 Ну да, прикольно. Наверное, потому что выполнена нестандартно. Ну она отличается от стандартных картин, поэтому цепляет глаз.";0.1;0.8;0.0;0.0;0.3;Ну да, прикольно | поэтому цепляет глаз;сейчас, наверное, грусть | он какой-то мрачноватый | удручающая аура | он сам грустный | уставший, грустный, грузный человек | плечи поникли | безэмоциональный;;;выполнена нестандартно | отличается от стандартных картин;Основная эмоция в тексте - грусть, так как описывается мрачный и удручающий образ человека на картине. Есть небольшая радость и удивление от нестандартности картины, но они незначительны по сравнению с грустью.
Варя;Фермерша;Средний;Честно, я даже, я даже не могу понять, что именно я вижу. С какой-то стороны это человек, но если описывать это не как именно просто то, что изображено, а именно то, что я чувствую, что у меня эта картина.. как бы в какие чувства она меня погружает, наверное, в какой-то страх, тревожность, потому что.. Возможно, мне кажется или не кажется, это глаза именно у этого человека. Возможно, это у меня просто зрение плохое, возможно, там действительно есть какой-то зрачок, и это красный оттенок, такой даже не красный, а такой светло-светло-алый, и сочетание цветов, именно цвета, как такой голубой цвет и темно-синий цвет на фоне с бордовым таким, это создает как атмосферу чего-то нагнетающего, но что-то очень маленькое и очень легкое, что-то такое. Это человек, который, как мне кажется, сидит где-то в какой-то жуткой комнате. Это человек, которому, наверное, плохо, страшно, тяжело, и который.. И который пытается найти что-то хорошее, потому что если смотреть на взгляд, то угол взгляда, он как бы немного вверх, возможно, это тоже что-то имеется в виду под этим. Мне кажется, это не самый хороший человек. Мне кажется, это человек, который за что-то очень сильно виноват, и пытается как бы сам себя, возможно, в этом оправдать. Ну, скорее всего, это мое восприятие цветов, потому что большое количество именно такого темно-бордового цвета. Бордовый цвет — это такой... Это цвет, который ассоциируется с болезнью, с виной, с чем-то нагнетающим, с чем-то таким тяжелым, масштабным, именно в негативном контексте. И маленьким-маленьким количеством именно такого светло-голубого цвета, он как... Как здесь, вот он здесь как акцент, и вот именно этот цвет, он как бы наводит на мысль то, что человек в душе может быть хорошим, но по факту, по факту то, что мы видим, это что-то... Что-то не самое лучшее.;0.1;0.4;0.7;0.0;0.3;человек в душе может быть хорошим;человек, которому, наверное, плохо | болезнь | вина | что-то нагнетающее | что-то таким тяжелым;страх | тревожность | жуткая комната | нагнетающего | плохо, страшно, тяжело;;я даже не могу понять, что именно я вижу | возможно, мне кажется или не кажется;Текст выражает в основном страх и тревожность из-за описания картины, которая вызывает чувство жуткости и нагнетания. Присутствует также грусть, связанная с ощущением болезни и вины. Удивление проявляется в непонимании и неуверенности в том, что изображено. Радость почти отсутствует, но есть небольшая надежда на то, что человек может быть хорошим в душе.
Игорь;Фермерша;Высокий;"Это женщина. Женщина очень необычно нарисованная. Такими мазками, но это не импрессионистские мазки, я не понимаю, какие это мазки. Но это что-то, наверное, из начала-середины 20 века. Такое, я не помню, это кубизм или абстракция. Наверное, что-то ближе к абстракции.
 Такая абстрактная женщина, немножко пугающая. Лицо безо рта, с большим носом. Это, в принципе, женщина в теле, такая хорошая. Ну вот из-за того, что фон такой темно-красный, практически кровавый, первое впечатление было такое, что немножечко такое легенькое чувство страха, что, знаешь, это монстр из шкафа, такой немножко. Но в целом, нет, картина выглядит интересно. Я бы, наверное, типа повесил ее в коридоре особняка, вот что-нибудь такое.
 Ну, мне кажется, вот как бы тут фон немножко намекает на то, что это вот, что называется, женщина... Русская женщина. Которая и в горящую избу и коня остановит на ходу, на скаку. Ну и само выражение лица, оно такое... Оно хоть и пугающее, но при этом вот в нем какая-то усталость чувствуется очень. То есть это... Она такая, она уставшая, она очень уставшая. Я думаю, у нее большая семья, которую она на себе тянет, как это свойственно в нашей стране женщинам. Ну, в принципе, в основном. Но она все равно, она тянет при этом. Она это выдерживает. Она такая, она сильная, она большая, она занимает большое пространство в картине. И, в принципе, как и в семье, соответственно, она тоже, наверное, занимает такое большое пространство собой. Потому что она как бы центр жизни для всей своей семьи. Но при этом себя она, скорее всего, центром не ощущает в своей жизни. Ну, что-то такое.
